"TABLE 5. Average Published Tuition and Fees at Public Institutions by State in Current Dollars and in 2018 Dollars, 2004-05 to 2018-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public Two-Year In-District Tuition and Fees,,,,,,,,,,,,,,,,,Public Four-Year In-State Tuition and Fees,,,,,,,,,,,,,,,,,,,
In 2018 Dollars,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,1-Year % Change,5-Year % Change,,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,1-Year % Change,5-Year % Change,,
,Public Two-Year In-District Tuition and Fees,,,,,,,,,,,,,,,,,Public Four-Year In-State Tuition and Fees,,,,,,,,,,,,,,,,,,,
In Current Dollars,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,1-Year % Change,5-Year % Change,,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,1-Year % Change,5-Year % Change,,
Alaska,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"$3,435","$3,793","$4,194","$4,425","$4,678","$4,922","$5,261","$5,455","$5,785","$5,885","$6,138","$6,703","$7,128","$7,440","$7,820",5%,33%,,
Alabama,"$2,728","$2,730","$2,786","$2,809","$2,835","$2,839","$3,417","$4,010","$4,088","$4,151","$4,257","$4,314","$4,395","$4,480","$4,760",6%,15%,,"$4,510","$4,782","$4,906","$5,244","$5,968","$6,487","$7,373","$8,001","$8,734","$9,161","$9,480","$9,746","$10,083","$10,650","$10,870",2%,19%,,
Arkansas,"$1,874","$1,980","$2,095","$2,138","$2,296","$2,378","$2,525","$2,663","$2,794","$3,006","$3,177","$3,403","$3,533","$3,610","$3,700",2%,23%,,"$4,581","$4,980","$5,314","$5,599","$5,914","$5,980","$6,304","$6,654","$6,995","$7,251","$7,594","$7,882","$8,254","$8,550","$8,710",2%,20%,,
Arizona,"$1,393","$1,522","$1,660","$1,686","$1,821","$1,918","$1,979","$2,151","$2,204","$2,334","$2,430","$2,475","$2,559","$2,600","$2,580",-1%,11%,,"$4,078","$4,434","$4,674","$4,959","$5,584","$6,554","$8,075","$9,435","$9,728","$10,078","$10,396","$10,634","$10,931","$11,210","$11,540",3%,15%,,
California,$808,$810,$724,$633,$634,$817,$819,"$1,119","$1,419","$1,425","$1,428","$1,422","$1,426","$1,420","$1,430",1%,0%,,"$4,195","$4,526","$4,549","$4,951","$5,436","$6,550","$7,485","$8,933","$8,986","$9,078","$9,171","$9,267","$9,302","$9,800","$9,870",1%,9%,,
Colorado,"$2,218","$2,388","$2,376","$2,459","$2,550","$2,768","$3,122","$3,394","$3,577","$3,745","$3,900","$4,077","$4,265","$4,320","$4,510",4%,20%,,"$3,733","$4,427","$4,772","$5,435","$5,792","$6,270","$7,078","$7,872","$8,441","$9,096","$9,283","$9,748","$10,287","$10,810","$11,140",3%,22%,,
Connecticut,"$2,406","$2,536","$2,672","$2,828","$2,984","$3,200","$3,408","$3,490","$3,598","$3,786","$3,866","$4,048","$4,187","$4,310","$4,400",2%,16%,,"$6,336","$6,754","$7,135","$7,574","$8,038","$8,456","$8,977","$9,217","$9,635","$10,232","$10,646","$11,174","$11,781","$12,180","$12,760",5%,25%,,
District of Columbia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"$2,520","$2,520","$3,210","$3,770","$3,770","$5,370","$7,000","$7,000","$7,244","$7,255","$7,338","$7,421","$7,844","$8,060","$8,250",2%,14%,,
Delaware,"$2,509","$2,679","$2,858","$2,996","$3,255","$3,418","$3,574","$3,817","$3,851","$4,050","$4,294","$4,414","$4,533","$4,720","$4,850",3%,20%,,"$6,629","$7,050","$7,403","$7,808","$8,291","$9,012","$9,623","$10,438","$10,908","$11,259","$11,495","$11,676","$11,929","$12,180","$12,700",4%,13%,,
Florida,"$1,780","$1,919","$2,031","$2,031","$2,292","$2,553","$2,773","$2,985","$3,091","$3,141","$3,176","$3,234","$3,234","$3,240","$3,250",0%,3%,,"$3,054","$3,213","$3,315","$3,386","$3,825","$4,316","$5,034","$5,624","$6,235","$6,315","$6,334","$6,360","$6,355","$6,360","$6,360",0%,1%,,
Georgia,"$2,075","$2,208","$2,236","$2,120","$2,104","$2,596","$2,800","$3,125","$3,315","$3,427","$3,599","$3,678","$3,770","$3,790","$3,810",1%,11%,,"$3,411","$3,678","$3,909","$4,181","$4,453","$5,008","$5,872","$7,298","$7,539","$7,823","$8,049","$8,447","$8,415","$8,580","$8,580",0%,10%,,
Hawaii,"$1,458","$1,525","$1,732","$1,946","$2,192","$2,443","$2,710","$2,965","$3,097","$3,252","$3,492","$3,664","$3,844","$3,850","$3,920",2%,21%,,"$3,386","$3,491","$4,227","$5,017","$5,823","$6,638","$7,458","$8,368","$8,613","$9,073","$9,696","$10,175","$10,651","$10,610","$10,800",2%,19%,,
Iowa,"$2,920","$3,090","$3,202","$3,331","$3,512","$3,701","$3,912","$4,111","$4,251","$4,387","$4,523","$4,736","$4,913","$5,070","$5,320",5%,21%,,"$5,407","$5,619","$5,900","$6,218","$6,433","$6,712","$7,155","$7,562","$7,831","$7,837","$7,855","$7,877","$8,270","$8,760","$9,080",4%,16%,,
Idaho,"$1,798","$1,876","$1,979","$2,092","$2,232","$2,418","$2,554","$2,791","$3,114","$3,697","$3,749","$3,872","$4,016","$4,100","$4,190",2%,13%,,"$3,591","$3,922","$4,156","$4,382","$4,612","$4,886","$5,330","$5,682","$5,989","$6,325","$6,599","$6,818","$7,013","$7,250","$7,590",5%,20%,,
Illinois,"$1,990","$2,147","$2,301","$2,440","$2,597","$2,729","$3,010","$3,152","$3,249","$3,393","$3,544","$3,748","$3,896","$4,060","$4,140",2%,22%,,"$6,494","$6,914","$8,058","$9,099","$10,021","$10,410","$10,969","$11,630","$12,168","$12,580","$12,791","$13,027","$13,440","$13,700","$13,970",2%,11%,,
Indiana,"$2,584","$2,728","$2,882","$3,003","$3,137","$3,279","$3,441","$3,538","$3,660","$3,809","$4,178","$4,324","$4,458","$4,580","$4,710",3%,24%,,"$5,847","$6,155","$6,555","$6,875","$7,222","$7,643","$7,988","$8,343","$8,715","$8,926","$9,033","$9,120","$9,245","$9,380","$9,490",1%,6%,,
Kansas,"$1,767","$1,848","$1,887","$1,928","$1,984","$2,121","$2,281","$2,362","$2,517","$2,544","$2,679","$2,779","$2,947","$3,030","$3,130",3%,23%,,"$4,242","$4,699","$5,213","$5,746","$6,010","$6,312","$6,627","$6,920","$7,280","$7,729","$8,256","$8,443","$8,907","$8,880","$9,100",2%,18%,,
Kentucky,"$2,770","$3,008","$3,270","$3,450","$3,684","$3,759","$3,900","$4,051","$4,201","$4,322","$4,461","$4,653","$4,910","$5,100","$5,310",4%,23%,,"$4,476","$5,029","$5,764","$6,279","$6,809","$7,116","$7,519","$7,974","$8,462","$8,701","$9,208","$9,567","$9,971","$10,320","$10,710",4%,23%,,
Louisiana,"$1,738","$1,841","$1,875","$1,915","$1,947","$2,049","$2,212","$2,701","$3,001","$3,381","$3,625","$3,970","$4,055","$4,140","$4,190",1%,24%,,"$3,534","$3,695","$3,770","$3,830","$4,073","$4,282","$4,733","$5,246","$5,875","$6,605","$7,324","$8,130","$8,933","$9,310","$9,550",3%,45%,,
