"TABLE 5. Average Published Tuition and Fees at Public Institutions by State in Current Dollars and in 2018 Dollars, 2004-05 to 2018-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public Two-Year In-District Tuition and Fees,,,,,,,,,,,,,,,,,Public Four-Year In-State Tuition and Fees,,,,,,,,,,,,,,,,,,,
In 2018 Dollars,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,1-Year % Change,5-Year % Change,,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,1-Year % Change,5-Year % Change,,
Illinois,"$2,648","$2,769","$2,849","$2,952","$2,975","$3,194","$3,479","$3,516","$3,574","$3,661","$3,748","$3,958","$4,080","$4,180","$4,140",-1%,13%,,"$8,641","$8,917","$9,979","$11,008","$11,481","$12,182","$12,679","$12,973","$13,384","$13,572","$13,529","$13,756","$14,074","$14,104","$13,970",-1%,3%,,
Indiana,"$3,438","$3,518","$3,569","$3,633","$3,594","$3,837","$3,978","$3,946","$4,026","$4,109","$4,419","$4,566","$4,669","$4,715","$4,710",0%,15%,,"$7,780","$7,938","$8,117","$8,318","$8,274","$8,944","$9,234","$9,306","$9,586","$9,629","$9,555","$9,630","$9,681","$9,657","$9,490",-2%,-1%,,
Kansas,"$2,351","$2,383","$2,337","$2,333","$2,273","$2,482","$2,637","$2,635","$2,769","$2,744","$2,834","$2,935","$3,086","$3,119","$3,130",0%,14%,,"$5,644","$6,060","$6,456","$6,952","$6,885","$7,386","$7,660","$7,719","$8,008","$8,338","$8,733","$8,915","$9,327","$9,142","$9,100",0%,9%,,
Kentucky,"$3,686","$3,879","$4,049","$4,174","$4,221","$4,399","$4,508","$4,519","$4,621","$4,662","$4,719","$4,913","$5,142","$5,250","$5,310",1%,14%,,"$5,956","$6,486","$7,138","$7,597","$7,801","$8,327","$8,691","$8,895","$9,308","$9,386","$9,739","$10,102","$10,441","$10,624","$10,710",1%,14%,,
Louisiana,"$2,312","$2,374","$2,322","$2,317","$2,231","$2,398","$2,557","$3,013","$3,301","$3,647","$3,834","$4,192","$4,246","$4,262","$4,190",-2%,15%,,"$4,702","$4,765","$4,669","$4,634","$4,666","$5,011","$5,471","$5,852","$6,462","$7,126","$7,747","$8,585","$9,355","$9,585","$9,550",0%,34%,,
Massachusetts,"$4,472","$4,511","$4,432","$4,469","$4,497","$5,021","$5,310","$5,373","$5,625","$5,547","$5,615","$6,016","$6,106","$6,218","$6,300",1%,14%,,"$9,359","$9,460","$9,390","$9,542","$9,439","$10,812","$10,967","$11,339","$11,714","$11,595","$11,602","$12,264","$12,894","$13,167","$13,200",0%,14%,,
Maryland,"$3,962","$3,989","$3,866","$3,934","$3,814","$3,972","$4,123","$4,136","$4,274","$4,306","$4,373","$4,513","$4,625","$4,664","$4,680",0%,9%,,"$9,008","$9,205","$8,936","$8,849","$8,469","$8,748","$8,943","$8,880","$9,031","$9,148","$9,183","$9,676","$9,800","$9,976","$9,900",-1%,8%,,
Maine,"$3,453","$3,627","$3,623","$3,775","$3,616","$3,787","$3,768","$3,713","$3,666","$3,666","$3,692","$3,686","$3,703","$3,727","$3,750",1%,2%,,"$7,452","$7,822","$8,193","$8,873","$9,255","$9,998","$10,340","$10,447","$10,299","$10,131","$10,095","$10,109","$10,144","$10,192","$10,230",0%,1%,,
Michigan,"$2,654","$2,742","$2,763","$2,818","$2,813","$2,957","$3,114","$3,191","$3,346","$3,479","$3,573","$3,670","$3,756","$3,881","$3,860",-1%,11%,,"$8,374","$9,153","$9,502","$10,282","$10,460","$11,422","$11,715","$12,093","$12,312","$12,514","$12,268","$12,665","$13,066","$13,445","$13,420",0%,7%,,
Minnesota,"$5,049","$5,176","$5,280","$5,379","$5,227","$5,546","$5,709","$5,757","$5,906","$5,797","$5,693","$5,692","$5,629","$5,611","$5,440",-3%,-6%,,"$8,599","$8,956","$9,310","$9,434","$9,529","$10,284","$10,851","$11,175","$11,397","$11,289","$11,174","$11,437","$11,536","$11,674","$11,540",-1%,2%,,
Missouri,"$2,863","$2,939","$2,961","$3,031","$2,963","$3,019","$2,982","$3,052","$3,177","$3,221","$3,256","$3,373","$3,418","$3,562","$3,580",1%,11%,,"$7,895","$8,088","$8,082","$8,281","$8,281","$8,443","$8,405","$8,572","$8,739","$8,731","$8,879","$9,032","$9,035","$8,751","$8,670",-1%,-1%,,
Mississippi,"$2,057","$2,151","$2,097","$2,068","$2,028","$2,171","$2,449","$2,460","$2,491","$2,581","$2,675","$2,730","$2,901","$3,181","$3,190",0%,24%,,"$5,310","$5,396","$5,511","$5,755","$5,668","$5,795","$6,120","$6,328","$6,775","$7,082","$7,255","$7,547","$7,834","$8,184","$8,420",3%,19%,,
Montana,"$3,148","$3,186","$3,185","$3,351","$3,327","$3,485","$3,501","$3,407","$3,403","$3,419","$3,357","$3,432","$3,476","$3,747","$3,730",0%,9%,,"$5,945","$6,343","$6,511","$6,415","$6,113","$6,419","$6,487","$6,560","$6,770","$6,716","$6,654","$6,706","$6,735","$7,114","$7,100",0%,6%,,
North Carolina,"$1,590","$1,606","$1,557","$1,622","$1,547","$1,872","$2,053","$2,309","$2,378","$2,431","$2,433","$2,457","$2,543","$2,512","$2,470",-2%,2%,,"$4,745","$4,714","$5,036","$5,210","$5,031","$5,312","$6,153","$6,346","$6,821","$7,030","$7,059","$7,359","$7,539","$7,598","$7,220",-5%,3%,,
North Dakota,"$3,992","$4,179","$4,092","$4,180","$4,396","$4,538","$4,485","$4,379","$4,366","$4,429","$4,434","$4,653","$4,639","$4,736","$4,830",2%,9%,,"$6,129","$6,544","$6,826","$7,021","$6,997","$7,413","$7,593","$7,653","$7,706","$7,847","$7,948","$8,118","$8,262","$8,432","$8,660",3%,10%,,
Nebraska,"$2,346","$2,407","$2,493","$2,607","$2,566","$2,684","$2,788","$2,779","$2,861","$2,887","$2,923","$3,056","$3,134","$3,181","$3,180",0%,10%,,"$6,280","$6,838","$6,475","$6,752","$6,824","$7,295","$7,629","$7,703","$7,902","$7,892","$7,759","$8,034","$8,266","$8,535","$8,510",0%,8%,,
